lambda,x,rho,type,x0,x1
2.9000000000000004,1.1956521,0.008625,empMax,1.1956521,1.268116
2.9000000000000004,1.268116,0.00069,empMax,1.268116,1.3405797
2.9000000000000004,1.3405797,0.0,empMax,1.3405797,1.4130435
2.9000000000000004,1.4855072,0.0,empMax,,
3.1,-2.5,5.589931e-9,free,,
3.1,-0.9934935,1.3193086e-7,free,,
3.1,-0.9834835,0.008478073,free,,
3.1,-0.9734735,0.013142279,free,,
3.1,-0.9634635,0.016258908,free,,
3.1,-0.9384384,0.021075465,free,,
3.1,-0.9084084,0.023084644,free,,
3.1,-0.8883884,0.0219042,free,,
3.1,-0.8783784,0.020175762,free,,
3.1,-0.8683684,0.01719786,free,,
3.1,-0.8583584,0.011762927,free,,
3.1,-0.8483483,2.20234e-7,free,,
3.1,-0.6981982,0.0000019001483,free,,
3.1,-0.6931932,0.026907492,free,,
3.1,-0.6881882,0.24242595,free,,
3.1,-0.6831832,0.3359456,free,,
3.1,-0.6781782,0.40407118,free,,
3.1,-0.6731732,0.4585538,free,,
3.1,-0.6681682,0.50407517,free,,
3.1,-0.6581582,0.5771112,free,,
3.1,-0.6481481,0.63381714,free,,
3.1,-0.6431431,0.65773624,free,,
3.1,-0.6331331,0.6987533,free,,
3.1,-0.6181181,0.747155,free,,
3.1,-0.6031031,0.7839772,free,,
3.1,-0.5930931,0.80363894,free,,
3.1,-0.5830831,0.82015175,free,,
3.1,-0.5730731,0.834008,free,,
3.1,-0.5630631,0.84560126,free,,
3.1,-0.5530531,0.85525125,free,,
3.1,-0.543043,0.86322105,free,,
3.1,-0.533033,0.8697297,free,,
3.1,-0.518018,0.8771478,free,,
3.1,-0.508008,0.88074875,free,,
3.1,-0.492993,0.8844427,free,,
3.1,-0.477978,0.8863902,free,,
3.1,-0.46296296,0.88687205,free,,
3.1,-0.44294295,0.88562536,free,,
3.1,-0.4229229,0.88261265,free,,
3.1,-0.4029029,0.87817544,free,,
3.1,-0.3778779,0.8710323,free,,
3.1,-0.35285285,0.86249423,free,,
3.1,-0.3228228,0.85084623,free,,
3.1,-0.25275275,0.8197322,free,,
3.1,-0.16766767,0.778013,free,,
3.1,0.04754755,0.6682425,free,,
3.1,0.17267267,0.60547334,free,,
3.1,0.6231231,0.3850038,free,,
3.1,0.7232232,0.33348477,free,,
3.1,0.8083083,0.28678837,free,,
3.1,0.8783784,0.24481468,free,,
3.1,0.9334334,0.20804606,free,,
3.1,0.9784785,0.17372231,free,,
3.1,0.9984985,0.15649435,free,,
3.1,1.0185186,0.13738467,free,,
3.1,1.0335336,0.12125922,free,,
3.1,1.0485486,0.10276232,free,,
3.1,1.0585586,0.08835523,free,,
3.1,1.0685686,0.07108733,free,,
3.1,1.0785786,0.04785096,free,,
3.1,1.0835836,0.029969804,free,,
3.1,1.0885886,6.2227707e-7,free,,
3.1,1.1086086,3.0299094e-7,free,,
3.1,1.1136136,0.0089527,free,,
3.1,1.1186186,0.013266643,free,,
3.1,1.1236236,0.01578627,free,,
3.1,1.1386386,0.019462775,free,,
3.1,1.1586586,0.020716136,free,,
3.1,1.1936936,0.019003052,free,,
3.1,1.2337338,0.01349009,free,,
3.1,1.2487488,0.010135731,free,,
3.1,1.2587588,0.006925672,free,,
3.1,1.2637638,0.0044893594,free,,
3.1,1.2687688,1.28077e-7,free,,
3.1,2.5,5.731577e-9,free,,
3.1,-1.1231884,0.0,emp,-1.1231884,-1.0507246
3.1,-1.0507246,0.003105,emp,-1.0507246,-0.9782609
3.1,-0.9782609,0.015525,emp,-0.9782609,-0.9057971
3.1,-0.9057971,0.014835,emp,-0.9057971,-0.8333333
3.1,-0.8333333,0.001035,emp,-0.8333333,-0.76086956
3.1,-0.76086956,0.01794,emp,-0.76086956,-0.6884058
3.1,-0.6884058,0.580635,emp,-0.6884058,-0.615942
3.1,-0.615942,0.81282,emp,-0.615942,-0.54347825
3.1,-0.54347825,0.879405,emp,-0.54347825,-0.4710145
3.1,-0.4710145,0.88803,emp,-0.4710145,-0.39855072
3.1,-0.39855072,0.860775,emp,-0.39855072,-0.32608697
3.1,-0.32608697,0.83973,emp,-0.32608697,-0.2536232
3.1,-0.2536232,0.798675,emp,-0.2536232,-0.18115942
3.1,-0.18115942,0.76659,emp,-0.18115942,-0.10869565
3.1,-0.10869565,0.72519,emp,-0.10869565,-0.036231883
3.1,-0.036231883,0.69414,emp,-0.036231883,0.036231883
3.1,0.036231883,0.65619,emp,0.036231883,0.10869565
3.1,0.10869565,0.62307,emp,0.10869565,0.18115942
3.1,0.18115942,0.579255,emp,0.18115942,0.2536232
3.1,0.2536232,0.554415,emp,0.2536232,0.32608697
3.1,0.32608697,0.51198,emp,0.32608697,0.39855072
3.1,0.39855072,0.4761,emp,0.39855072,0.4710145
3.1,0.4710145,0.44298,emp,0.4710145,0.54347825
3.1,0.54347825,0.403995,emp,0.54347825,0.615942
3.1,0.615942,0.366045,emp,0.615942,0.6884058
3.1,0.6884058,0.33396,emp,0.6884058,0.76086956
3.1,0.76086956,0.298425,emp,0.76086956,0.8333333
3.1,0.8333333,0.245295,emp,0.8333333,0.9057971
3.1,0.9057971,0.196995,emp,0.9057971,0.9782609
3.1,0.9782609,0.142485,emp,0.9782609,1.0507246
3.1,1.0507246,0.039675,emp,1.0507246,1.1231884
3.1,1.1231884,0.01449,emp,1.1231884,1.1956521
3.1,1.1956521,0.0138,emp,1.1956521,1.268116
3.1,1.268116,0.002415,emp,1.268116,1.3405797
3.1,1.3405797,0.0,emp,1.3405797,1.4130435
3.1,1.4855072,0.0,emp,,
3.1,-1.1231884,0.0,empMin,-1.1231884,-1.0507246
3.1,-1.0507246,0.003105,empMin,-1.0507246,-0.9782609
3.1,-0.9782609,0.015525,empMin,-0.9782609,-0.9057971
3.1,-0.9057971,0.014835,empMin,-0.9057971,-0.8333333
3.1,-0.8333333,0.001035,empMin,-0.8333333,-0.76086956
3.1,-0.76086956,0.0,empMin,-0.76086956,-0.6884058
3.1,-0.615942,0.0,empMin,,
3.1,0.9782609,0.0,empMax,0.9782609,1.0507246
3.1,1.0507246,0.003795,empMax,1.0507246,1.1231884
3.1,1.1231884,0.01449,empMax,1.1231884,1.1956521
3.1,1.1956521,0.0138,empMax,1.1956521,1.268116
3.1,1.268116,0.002415,empMax,1.268116,1.3405797
3.1,1.3405797,0.0,empMax,1.3405797,1.4130435
3.1,1.4855072,0.0,empMax,,
3.3000000000000003,-2.5,5.5906675e-9,free,,
3.3000000000000003,-1.0185186,1.0619995e-7,free,,
3.3000000000000003,-1.0135136,0.0005375073,free,,
3.3000000000000003,-1.0085086,0.0067382487,free,,
3.3000000000000003,-1.0035036,0.009432645,free,,
3.3000000000000003,-0.9934935,0.0130808605,free,,
3.3000000000000003,-0.9834835,0.015679976,free,,
3.3000000000000003,-0.9584585,0.019840278,free,,
3.3000000000000003,-0.9284284,0.02171945,free,,
3.3000000000000003,-0.9034034,0.020382889,free,,
3.3000000000000003,-0.8933934,0.018714596,free,,
3.3000000000000003,-0.8833834,0.01593845,free,,
3.3000000000000003,-0.8733734,0.011007079,free,,
3.3000000000000003,-0.8633634,2.0808483e-7,free,,
3.3000000000000003,-0.6981982,0.0000019035094,free,,
3.3000000000000003,-0.6931932,0.030159028,free,,
3.3000000000000003,-0.6881882,0.24277085,free,,
3.3000000000000003,-0.6831832,0.33617,free,,
3.3000000000000003,-0.6781782,0.4042391,free,,
3.3000000000000003,-0.6731732,0.45868683,free,,
3.3000000000000003,-0.6681682,0.50418377,free,,
3.3000000000000003,-0.6581582,0.57718706,free,,
3.3000000000000003,-0.6481481,0.6338717,free,,
3.3000000000000003,-0.6431431,0.65778273,free,,
3.3000000000000003,-0.6331331,0.69878685,free,,
3.3000000000000003,-0.6181181,0.74717474,free,,
3.3000000000000003,-0.6031031,0.7839873,free,,
3.3000000000000003,-0.5930931,0.8036442,free,,
3.3000000000000003,-0.5830831,0.820153,free,,
3.3000000000000003,-0.5730731,0.8340059,free,,
3.3000000000000003,-0.5630631,0.84559643,free,,
3.3000000000000003,-0.5530531,0.85524416,free,,
3.3000000000000003,-0.543043,0.86321205,free,,
3.3000000000000003,-0.533033,0.869719,free,,
3.3000000000000003,-0.518018,0.8771351,free,,
3.3000000000000003,-0.508008,0.880735,free,,
3.3000000000000003,-0.492993,0.88442755,free,,
3.3000000000000003,-0.477978,0.886374,free,,
3.3000000000000003,-0.46296296,0.88685507,free,,
3.3000000000000003,-0.44294295,0.8856075,free,,
3.3000000000000003,-0.4229229,0.8825941,free,,
3.3000000000000003,-0.4029029,0.8781564,free,,
3.3000000000000003,-0.3778779,0.87101287,free,,
3.3000000000000003,-0.35285285,0.86247456,free,,
3.3000000000000003,-0.3228228,0.8508264,free,,
3.3000000000000003,-0.25275275,0.8197123,free,,
3.3000000000000003,-0.16766767,0.7779932,free,,
3.3000000000000003,0.04754755,0.6682227,free,,
3.3000000000000003,0.17267267,0.605453,free,,
3.3000000000000003,0.6231231,0.38497517,free,,
3.3000000000000003,0.7232232,0.33345163,free,,
3.3000000000000003,0.8083083,0.28675017,free,,
3.3000000000000003,0.8783784,0.24477196,free,,
3.3000000000000003,0.9334334,0.2080018,free,,
3.3000000000000003,0.9784785,0.17368451,free,,
3.3000000000000003,0.9984985,0.15646672,free,,
3.3000000000000003,1.0185186,0.13737907,free,,
3.3000000000000003,1.0335336,0.12128701,free,,
3.3000000000000003,1.0485486,0.10285703,free,,
3.3000000000000003,1.0585586,0.08853686,free,,
3.3000000000000003,1.0685686,0.07144135,free,,
3.3000000000000003,1.0785786,0.048666157,free,,
3.3000000000000003,1.0835836,0.031580202,free,,
3.3000000000000003,1.0885886,6.996517e-7,free,,
3.3000000000000003,1.1186186,2.9508934e-7,free,,
3.3000000000000003,1.1236236,0.008429413,free,,
3.3000000000000003,1.1286286,0.012056294,free,,
3.3000000000000003,1.1336336,0.014297728,free,,
3.3000000000000003,1.1486486,0.017792478,free,,
3.3000000000000003,1.1736736,0.019316697,free,,
3.3000000000000003,1.2137138,0.017451042,free,,
3.3000000000000003,1.2537538,0.012416803,free,,
3.3000000000000003,1.2787788,0.0065426445,free,,
3.3000000000000003,1.2837838,0.004435985,free,,
3.3000000000000003,1.2887888,1.487442e-7,free,,
3.3000000000000003,2.5,5.732755e-9,free,,
3.3000000000000003,-1.1231884,0.0,emp,-1.1231884,-1.0507246
3.3000000000000003,-1.0507246,0.0069,emp,-1.0507246,-0.9782609
3.3000000000000003,-0.9782609,0.018285,emp,-0.9782609,-0.9057971
3.3000000000000003,-0.9057971,0.00897,emp,-0.9057971,-0.8333333
3.3000000000000003,-0.8333333,0.000345,emp,-0.8333333,-0.76086956
3.3000000000000003,-0.76086956,0.016215,emp,-0.76086956,-0.6884058
3.3000000000000003,-0.6884058,0.57615,emp,-0.6884058,-0.615942
3.3000000000000003,-0.615942,0.817305,emp,-0.615942,-0.54347825
3.3000000000000003,-0.54347825,0.877335,emp,-0.54347825,-0.4710145
3.3000000000000003,-0.4710145,0.885615,emp,-0.4710145,-0.39855072
3.3000000000000003,-0.39855072,0.863535,emp,-0.39855072,-0.32608697
3.3000000000000003,-0.32608697,0.840075,emp,-0.32608697,-0.2536232
3.3000000000000003,-0.2536232,0.806955,emp,-0.2536232,-0.18115942
3.3000000000000003,-0.18115942,0.764865,emp,-0.18115942,-0.10869565
3.3000000000000003,-0.10869565,0.73347,emp,-0.10869565,-0.036231883
3.3000000000000003,-0.036231883,0.69,emp,-0.036231883,0.036231883
3.3000000000000003,0.036231883,0.648255,emp,0.036231883,0.10869565
3.3000000000000003,0.10869565,0.624105,emp,0.10869565,0.18115942
3.3000000000000003,0.18115942,0.57891,emp,0.18115942,0.2536232
3.3000000000000003,0.2536232,0.546825,emp,0.2536232,0.32608697
3.3000000000000003,0.32608697,0.5106,emp,0.32608697,0.39855072
3.3000000000000003,0.39855072,0.478515,emp,0.39855072,0.4710145
3.3000000000000003,0.4710145,0.444705,emp,0.4710145,0.54347825
3.3000000000000003,0.54347825,0.4071,emp,0.54347825,0.615942
3.3000000000000003,0.615942,0.37122,emp,0.615942,0.6884058
3.3000000000000003,0.6884058,0.331545,emp,0.6884058,0.76086956
3.3000000000000003,0.76086956,0.290145,emp,0.76086956,0.8333333
3.3000000000000003,0.8333333,0.243915,emp,0.8333333,0.9057971
3.3000000000000003,0.9057971,0.20424,emp,0.9057971,0.9782609
3.3000000000000003,0.9782609,0.145245,emp,0.9782609,1.0507246
3.3000000000000003,1.0507246,0.035535,emp,1.0507246,1.1231884
3.3000000000000003,1.1231884,0.01863,emp,1.1231884,1.1956521
3.3000000000000003,1.1956521,0.01035,emp,1.1956521,1.268116
3.3000000000000003,1.268116,0.00414,emp,1.268116,1.3405797
3.3000000000000003,1.3405797,0.0,emp,1.3405797,1.4130435
3.3000000000000003,1.4855072,0.0,emp,,
3.3000000000000003,-1.1231884,0.0,empMin,-1.1231884,-1.0507246
3.3000000000000003,-1.0507246,0.0069,empMin,-1.0507246,-0.9782609
3.3000000000000003,-0.9782609,0.018285,empMin,-0.9782609,-0.9057971
3.3000000000000003,-0.9057971,0.00897,empMin,-0.9057971,-0.8333333
3.3000000000000003,-0.8333333,0.000345,empMin,-0.8333333,-0.76086956
3.3000000000000003,-0.76086956,0.0,empMin,-0.76086956,-0.6884058
3.3000000000000003,-0.615942,0.0,empMin,,
3.3000000000000003,0.9782609,0.0,empMax,0.9782609,1.0507246
3.3000000000000003,1.0507246,0.00138,empMax,1.0507246,1.1231884
3.3000000000000003,1.1231884,0.01863,empMax,1.1231884,1.1956521
3.3000000000000003,1.1956521,0.01035,empMax,1.1956521,1.268116
3.3000000000000003,1.268116,0.00414,empMax,1.268116,1.3405797
3.3000000000000003,1.3405797,0.0,empMax,1.3405797,1.4130435
3.3000000000000003,1.4855072,0.0,empMax,,
3.5000000000000004,-2.5,5.5914224e-9,free,,
3.5000000000000004,-1.0385386,1.375944e-7,free,,
3.5000000000000004,-1.0335336,0.004898753,free,,
3.5000000000000004,-1.0285286,0.007823672,free,,
3.5000000000000004,-1.0185186,0.011480162,free,,
3.5000000000000004,-1.0085086,0.014026812,free,,
3.5000000000000004,-0.9784785,0.018716682,free,,
3.5000000000000004,-0.9434434,0.020515734,free,,
3.5000000000000004,-0.9184184,0.019067768,free,,
3.5000000000000004,-0.8983984,0.014918962,free,,
3.5000000000000004,-0.8883884,0.010489352,free,,
3.5000000000000004,-0.8833834,0.006409261,free,,
3.5000000000000004,-0.8783784,2.0453646e-7,free,,
3.5000000000000004,-0.6981982,0.0000019064597,free,,
3.5000000000000004,-0.6931932,0.0327073,free,,
3.5000000000000004,-0.6881882,0.24306974,free,,
3.5000000000000004,-0.6831832,0.33636552,free,,
3.5000000000000004,-0.6781782,0.40438625,free,,
3.5000000000000004,-0.6731732,0.458804,free,,
3.5000000000000004,-0.6681682,0.50428,free,,
3.5000000000000004,-0.6581582,0.5772551,free,,
3.5000000000000004,-0.6481481,0.6339212,free,,
3.5000000000000004,-0.6431431,0.6578252,free,,
3.5000000000000004,-0.6331331,0.69881797,free,,
3.5000000000000004,-0.6181181,0.74719375,free,,
3.5000000000000004,-0.6031031,0.7839978,free,,
3.5000000000000004,-0.5930931,0.80365026,free,,
3.5000000000000004,-0.5830831,0.82015544,free,,
3.5000000000000004,-0.5730731,0.83400536,free,,
3.5000000000000004,-0.5630631,0.8455934,free,,
3.5000000000000004,-0.5530531,0.855239,free,,
3.5000000000000004,-0.543043,0.8632051,free,,
3.5000000000000004,-0.533033,0.86971056,free,,
3.5000000000000004,-0.518018,0.8771247,free,,
3.5000000000000004,-0.508008,0.88072354,free,,
3.5000000000000004,-0.492993,0.8844148,free,,
3.5000000000000004,-0.477978,0.8863602,free,,
3.5000000000000004,-0.46296296,0.8868404,free,,
3.5000000000000004,-0.44294295,0.8855919,free,,
3.5000000000000004,-0.4229229,0.88257796,free,,
3.5000000000000004,-0.4029029,0.87813973,free,,
3.5000000000000004,-0.3778779,0.87099576,free,,
3.5000000000000004,-0.35285285,0.8624571,free,,
3.5000000000000004,-0.3228228,0.85080874,free,,
3.5000000000000004,-0.25275275,0.81969434,free,,
3.5000000000000004,-0.16766767,0.7779753,free,,
3.5000000000000004,0.04754755,0.6682047,free,,
3.5000000000000004,0.17267267,0.60543454,free,,
3.5000000000000004,0.6231231,0.38494968,free,,
3.5000000000000004,0.7232232,0.33342266,free,,
3.5000000000000004,0.8083083,0.28671762,free,,
3.5000000000000004,0.8783784,0.24473692,free,,
3.5000000000000004,0.9334334,0.20796779,free,,
3.5000000000000004,0.9784785,0.17365967,free,,
3.5000000000000004,0.9984985,0.1564531,free,,
3.5000000000000004,1.0185186,0.13738754,free,,
3.5000000000000004,1.0335336,0.12132685,free,,
3.5000000000000004,1.0485486,0.102956146,free,,
3.5000000000000004,1.0585586,0.08870926,free,,
3.5000000000000004,1.0685686,0.07175235,free,,
3.5000000000000004,1.0785786,0.04932542,free,,
3.5000000000000004,1.0835836,0.032794647,free,,
3.5000000000000004,1.0885886,7.9680706e-7,free,,
3.5000000000000004,1.1286286,2.7649247e-7,free,,
3.5000000000000004,1.1336336,0.007678241,free,,
3.5000000000000004,1.1386386,0.010920153,free,,
3.5000000000000004,1.1436436,0.012982758,free,,
3.5000000000000004,1.1536536,0.015530731,free,,
3.5000000000000004,1.1636636,0.016957082,free,,
3.5000000000000004,1.1886886,0.018125568,free,,
3.5000000000000004,1.2287288,0.016529737,free,,
3.5000000000000004,1.2737738,0.011516922,free,,
3.5000000000000004,1.2987988,0.006237972,free,,
3.5000000000000004,1.3038038,0.004409884,free,,
3.5000000000000004,1.3088088,4.714839e-7,free,,
3.5000000000000004,2.5,5.7339693e-9,free,,
3.5000000000000004,-1.1956521,0.0,emp,-1.1956521,-1.1231884
3.5000000000000004,-1.1231884,0.001035,emp,-1.1231884,-1.0507246
3.5000000000000004,-1.0507246,0.008625,emp,-1.0507246,-0.9782609
3.5000000000000004,-0.9782609,0.01794,emp,-0.9782609,-0.9057971
3.5000000000000004,-0.9057971,0.0069,emp,-0.9057971,-0.8333333
3.5000000000000004,-0.8333333,0.0,emp,-0.8333333,-0.76086956
3.5000000000000004,-0.76086956,0.016215,emp,-0.76086956,-0.6884058
3.5000000000000004,-0.6884058,0.5796,emp,-0.6884058,-0.615942
3.5000000000000004,-0.615942,0.815925,emp,-0.615942,-0.54347825
3.5000000000000004,-0.54347825,0.877335,emp,-0.54347825,-0.4710145
3.5000000000000004,-0.4710145,0.880785,emp,-0.4710145,-0.39855072
3.5000000000000004,-0.39855072,0.869745,emp,-0.39855072,-0.32608697
3.5000000000000004,-0.32608697,0.833175,emp,-0.32608697,-0.2536232
3.5000000000000004,-0.2536232,0.80385,emp,-0.2536232,-0.18115942
3.5000000000000004,-0.18115942,0.766935,emp,-0.18115942,-0.10869565
3.5000000000000004,-0.10869565,0.736575,emp,-0.10869565,-0.036231883
3.5000000000000004,-0.036231883,0.68586,emp,-0.036231883,0.036231883
3.5000000000000004,0.036231883,0.657225,emp,0.036231883,0.10869565
3.5000000000000004,0.10869565,0.613755,emp,0.10869565,0.18115942
3.5000000000000004,0.18115942,0.582015,emp,0.18115942,0.2536232
3.5000000000000004,0.2536232,0.555105,emp,0.2536232,0.32608697
3.5000000000000004,0.32608697,0.506805,emp,0.32608697,0.39855072
3.5000000000000004,0.39855072,0.48231,emp,0.39855072,0.4710145
3.5000000000000004,0.4710145,0.43953,emp,0.4710145,0.54347825
3.5000000000000004,0.54347825,0.408135,emp,0.54347825,0.615942
3.5000000000000004,0.615942,0.3657,emp,0.615942,0.6884058
3.5000000000000004,0.6884058,0.336375,emp,0.6884058,0.76086956
3.5000000000000004,0.76086956,0.28911,emp,0.76086956,0.8333333
3.5000000000000004,0.8333333,0.244605,emp,0.8333333,0.9057971
3.5000000000000004,0.9057971,0.20079,emp,0.9057971,0.9782609
3.5000000000000004,0.9782609,0.141105,emp,0.9782609,1.0507246
3.5000000000000004,1.0507246,0.04209,emp,1.0507246,1.1231884
3.5000000000000004,1.1231884,0.01173,emp,1.1231884,1.1956521
3.5000000000000004,1.1956521,0.014835,emp,1.1956521,1.268116
3.5000000000000004,1.268116,0.006555,emp,1.268116,1.3405797
3.5000000000000004,1.3405797,0.001725,emp,1.3405797,1.4130435
3.5000000000000004,1.4130435,0.0,emp,1.4130435,1.4855072
3.5000000000000004,1.557971,0.0,emp,,
3.5000000000000004,-1.1956521,0.0,empMin,-1.1956521,-1.1231884
3.5000000000000004,-1.1231884,0.001035,empMin,-1.1231884,-1.0507246
3.5000000000000004,-1.0507246,0.008625,empMin,-1.0507246,-0.9782609
3.5000000000000004,-0.9782609,0.01794,empMin,-0.9782609,-0.9057971
3.5000000000000004,-0.9057971,0.0069,empMin,-0.9057971,-0.8333333
3.5000000000000004,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
3.5000000000000004,-0.6884058,0.0,empMin,,
3.5000000000000004,0.9782609,0.0,empMax,0.9782609,1.0507246
3.5000000000000004,1.0507246,0.000345,empMax,1.0507246,1.1231884
3.5000000000000004,1.1231884,0.01104,empMax,1.1231884,1.1956521
3.5000000000000004,1.1956521,0.014835,empMax,1.1956521,1.268116
3.5000000000000004,1.268116,0.006555,empMax,1.268116,1.3405797
3.5000000000000004,1.3405797,0.001725,empMax,1.3405797,1.4130435
3.5000000000000004,1.4130435,0.0,empMax,1.4130435,1.4855072
3.5000000000000004,1.557971,0.0,empMax,,
3.7,-2.5,5.5921965e-9,free,,
3.7,-1.0635636,9.7774475e-8,free,,
3.7,-1.0535536,0.0062135383,free,,
3.7,-1.0485486,0.00834739,free,,
3.7,-1.0285286,0.013531205,free,,
3.7,-0.9984985,0.01769012,free,,
3.7,-0.9634635,0.019440664,free,,
3.7,-0.9334334,0.017928513,free,,
3.7,-0.9134134,0.014091847,free,,
3.7,-0.9034034,0.010146561,free,,
3.7,-0.8983984,0.006702211,free,,
3.7,-0.8933934,2.1670321e-7,free,,
3.7,-0.6981982,0.0000019090683,free,,
3.7,-0.6931932,0.03477766,free,,
3.7,-0.6881882,0.24333124,free,,
3.7,-0.6831832,0.33653745,free,,
3.7,-0.6781782,0.40451622,free,,
3.7,-0.6731732,0.458908,free,,
3.7,-0.6681682,0.5043657,free,,
3.7,-0.6581582,0.5773162,free,,
3.7,-0.6481481,0.63396627,free,,
3.7,-0.6431431,0.65786403,free,,
3.7,-0.6331331,0.6988469,free,,
3.7,-0.6181181,0.7472119,free,,
3.7,-0.6031031,0.7840082,free,,
3.7,-0.5930931,0.80365676,free,,
3.7,-0.5830831,0.82015866,free,,
3.7,-0.5730731,0.8340059,free,,
3.7,-0.5630631,0.8455916,free,,
3.7,-0.5530531,0.8552352,free,,
3.7,-0.543043,0.86319965,free,,
3.7,-0.533033,0.8697037,free,,
3.7,-0.518018,0.8771161,free,,
3.7,-0.508008,0.88071394,free,,
3.7,-0.492993,0.884404,free,,
3.7,-0.477978,0.88634837,free,,
3.7,-0.46296296,0.8868277,free,,
3.7,-0.44294295,0.8855784,free,,
3.7,-0.4229229,0.8825637,free,,
3.7,-0.4029029,0.878125,free,,
3.7,-0.3778779,0.8709805,free,,
3.7,-0.35285285,0.86244154,free,,
3.7,-0.3228228,0.8507929,free,,
3.7,-0.25275275,0.8196782,free,,
3.7,-0.16766767,0.77795905,free,,
3.7,0.04754755,0.6681882,free,,
3.7,0.17267267,0.6054176,free,,
3.7,0.528028,0.43203232,free,,
3.7,0.6231231,0.38492692,free,,
3.7,0.7232232,0.3333972,free,,
3.7,0.8083083,0.28668973,free,,
3.7,0.8783784,0.24470806,free,,
3.7,0.9334334,0.2079416,free,,
3.7,0.9784785,0.17364413,free,,
3.7,0.9984985,0.15644899,free,,
3.7,1.0185186,0.13740462,free,,
3.7,1.0335336,0.121372566,free,,
3.7,1.0485486,0.10305374,free,,
3.7,1.0585586,0.088868685,free,,
3.7,1.0685686,0.0720247,free,,
3.7,1.0785786,0.04986946,free,,
3.7,1.0835836,0.033749208,free,,
3.7,1.0885886,9.2117284e-7,free,,
3.7,1.1386386,2.395771e-7,free,,
3.7,1.1436436,0.0068653594,free,,
3.7,1.1486486,0.009875605,free,,
3.7,1.1586586,0.013214349,free,,
3.7,1.1786786,0.016172543,free,,
3.7,1.2037038,0.0170946,free,,
3.7,1.2437438,0.01571455,free,,
3.7,1.2887888,0.011429287,free,,
3.7,1.3188188,0.0059771356,free,,
3.7,1.3338338,6.7815414e-8,free,,
3.7,2.5,5.735221e-9,free,,
3.7,-1.268116,0.0,emp,-1.268116,-1.1956521
3.7,-1.1956521,0.00069,emp,-1.1956521,-1.1231884
3.7,-1.1231884,0.004485,emp,-1.1231884,-1.0507246
3.7,-1.0507246,0.01242,emp,-1.0507246,-0.9782609
3.7,-0.9782609,0.01311,emp,-0.9782609,-0.9057971
3.7,-0.9057971,0.003795,emp,-0.9057971,-0.8333333
3.7,-0.8333333,0.0,emp,-0.8333333,-0.76086956
3.7,-0.76086956,0.016215,emp,-0.76086956,-0.6884058
3.7,-0.6884058,0.58098,emp,-0.6884058,-0.615942
3.7,-0.615942,0.820065,emp,-0.615942,-0.54347825
3.7,-0.54347825,0.88044,emp,-0.54347825,-0.4710145
3.7,-0.4710145,0.8763,emp,-0.4710145,-0.39855072
3.7,-0.39855072,0.862845,emp,-0.39855072,-0.32608697
3.7,-0.32608697,0.834555,emp,-0.32608697,-0.2536232
3.7,-0.2536232,0.805575,emp,-0.2536232,-0.18115942
3.7,-0.18115942,0.769005,emp,-0.18115942,-0.10869565
3.7,-0.10869565,0.731055,emp,-0.10869565,-0.036231883
3.7,-0.036231883,0.691725,emp,-0.036231883,0.036231883
3.7,0.036231883,0.652395,emp,0.036231883,0.10869565
3.7,0.10869565,0.61893,emp,0.10869565,0.18115942
3.7,0.18115942,0.57822,emp,0.18115942,0.2536232
3.7,0.2536232,0.555105,emp,0.2536232,0.32608697
3.7,0.32608697,0.51267,emp,0.32608697,0.39855072
3.7,0.39855072,0.469545,emp,0.39855072,0.4710145
3.7,0.4710145,0.44229,emp,0.4710145,0.54347825
3.7,0.54347825,0.409515,emp,0.54347825,0.615942
3.7,0.615942,0.366735,emp,0.615942,0.6884058
3.7,0.6884058,0.339135,emp,0.6884058,0.76086956
3.7,0.76086956,0.288765,emp,0.76086956,0.8333333
3.7,0.8333333,0.250815,emp,0.8333333,0.9057971
3.7,0.9057971,0.20148,emp,0.9057971,0.9782609
3.7,0.9782609,0.137655,emp,0.9782609,1.0507246
3.7,1.0507246,0.040365,emp,1.0507246,1.1231884
3.7,1.1231884,0.013455,emp,1.1231884,1.1956521
3.7,1.1956521,0.01242,emp,1.1956521,1.268116
3.7,1.268116,0.00621,emp,1.268116,1.3405797
3.7,1.3405797,0.001035,emp,1.3405797,1.4130435
3.7,1.4130435,0.0,emp,1.4130435,1.4855072
3.7,1.557971,0.0,emp,,
3.7,-1.268116,0.0,empMin,-1.268116,-1.1956521
3.7,-1.1956521,0.00069,empMin,-1.1956521,-1.1231884
3.7,-1.1231884,0.004485,empMin,-1.1231884,-1.0507246
3.7,-1.0507246,0.01242,empMin,-1.0507246,-0.9782609
3.7,-0.9782609,0.01311,empMin,-0.9782609,-0.9057971
3.7,-0.9057971,0.003795,empMin,-0.9057971,-0.8333333
3.7,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
3.7,-0.6884058,0.0,empMin,,
3.7,0.9782609,0.0,empMax,0.9782609,1.0507246
3.7,1.0507246,0.00138,empMax,1.0507246,1.1231884
3.7,1.1231884,0.013455,empMax,1.1231884,1.1956521
3.7,1.1956521,0.01242,empMax,1.1956521,1.268116
3.7,1.268116,0.00621,empMax,1.268116,1.3405797
3.7,1.3405797,0.001035,empMax,1.3405797,1.4130435
3.7,1.4130435,0.0,empMax,1.4130435,1.4855072
