lambda,x,rho,type,x0,x1
0.30000000000000004,0.7282282,0.3322956,free,,
0.30000000000000004,0.8083083,0.28858197,free,,
0.30000000000000004,0.8783784,0.24708438,free,,
0.30000000000000004,0.9334334,0.21095525,free,,
0.30000000000000004,0.9584585,0.19295502,free,,
0.30000000000000004,0.9834835,0.17352878,free,,
0.30000000000000004,1.0035036,0.15659721,free,,
0.30000000000000004,1.0235236,0.13793153,free,,
0.30000000000000004,1.0385386,0.12231552,free,,
0.30000000000000004,1.0535536,0.104627326,free,,
0.30000000000000004,1.0635636,0.091093495,free,,
0.30000000000000004,1.0735736,0.07530432,free,,
0.30000000000000004,1.0835836,0.05536066,free,,
0.30000000000000004,1.0885886,0.042068645,free,,
0.30000000000000004,1.0985986,4.3721474e-7,free,,
0.30000000000000004,2.5,5.7181833e-9,free,,
0.30000000000000004,-0.8333333,0.0,emp,-0.8333333,-0.76086956
0.30000000000000004,-0.76086956,0.02484,emp,-0.76086956,-0.6884058
0.30000000000000004,-0.6884058,0.59202,emp,-0.6884058,-0.615942
0.30000000000000004,-0.615942,0.817995,emp,-0.615942,-0.54347825
0.30000000000000004,-0.54347825,0.88734,emp,-0.54347825,-0.4710145
0.30000000000000004,-0.4710145,0.884235,emp,-0.4710145,-0.39855072
0.30000000000000004,-0.39855072,0.864915,emp,-0.39855072,-0.32608697
0.30000000000000004,-0.32608697,0.833175,emp,-0.32608697,-0.2536232
0.30000000000000004,-0.2536232,0.80799,emp,-0.2536232,-0.18115942
0.30000000000000004,-0.18115942,0.76038,emp,-0.18115942,-0.10869565
0.30000000000000004,-0.10869565,0.733815,emp,-0.10869565,-0.036231883
0.30000000000000004,-0.036231883,0.69207,emp,-0.036231883,0.036231883
0.30000000000000004,0.036231883,0.65619,emp,0.036231883,0.10869565
0.30000000000000004,0.10869565,0.628935,emp,0.10869565,0.18115942
0.30000000000000004,0.18115942,0.57684,emp,0.18115942,0.2536232
0.30000000000000004,0.2536232,0.54786,emp,0.2536232,0.32608697
0.30000000000000004,0.32608697,0.51336,emp,0.32608697,0.39855072
0.30000000000000004,0.39855072,0.47817,emp,0.39855072,0.4710145
0.30000000000000004,0.4710145,0.44436,emp,0.4710145,0.54347825
0.30000000000000004,0.54347825,0.4071,emp,0.54347825,0.615942
0.30000000000000004,0.615942,0.36915,emp,0.615942,0.6884058
0.30000000000000004,0.6884058,0.334305,emp,0.6884058,0.76086956
0.30000000000000004,0.76086956,0.291525,emp,0.76086956,0.8333333
0.30000000000000004,0.8333333,0.250125,emp,0.8333333,0.9057971
0.30000000000000004,0.9057971,0.207345,emp,0.9057971,0.9782609
0.30000000000000004,0.9782609,0.14628,emp,0.9782609,1.0507246
0.30000000000000004,1.0507246,0.04968,emp,1.0507246,1.1231884
0.30000000000000004,1.1231884,0.0,emp,1.1231884,1.1956521
0.30000000000000004,1.268116,0.0,emp,,
0.30000000000000004,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
0.30000000000000004,-0.76086956,0.02346,empMin,-0.76086956,-0.6884058
0.30000000000000004,-0.6884058,0.01104,empMin,-0.6884058,-0.615942
0.30000000000000004,-0.615942,0.0,empMin,-0.615942,-0.54347825
0.30000000000000004,-0.4710145,0.0,empMin,,
0.30000000000000004,0.9057971,0.0,empMax,0.9057971,0.9782609
0.30000000000000004,0.9782609,0.001725,empMax,0.9782609,1.0507246
0.30000000000000004,1.0507246,0.032775,empMax,1.0507246,1.1231884
0.30000000000000004,1.1231884,0.0,empMax,1.1231884,1.1956521
0.30000000000000004,1.268116,0.0,empMax,,
0.5,-2.5,5.5817737e-9,free,,
0.5,-0.7032032,0.0000018112452,free,,
0.5,-0.6981982,0.07550429,free,,
0.5,-0.6931932,0.19165868,free,,
0.5,-0.6881882,0.2816836,free,,
0.5,-0.6831832,0.3567065,free,,
0.5,-0.6731732,0.46931165,free,,
0.5,-0.6631632,0.55063486,free,,
0.5,-0.6531532,0.61305255,free,,
0.5,-0.6431431,0.6626936,free,,
0.5,-0.6331331,0.703041,free,,
0.5,-0.6181181,0.75074923,free,,
0.5,-0.6031031,0.7870893,free,,
0.5,-0.5880881,0.81500983,free,,
0.5,-0.5780781,0.82994753,free,,
0.5,-0.5680681,0.84246355,free,,
0.5,-0.5580581,0.85290617,free,,
0.5,-0.548048,0.861561,free,,
0.5,-0.538038,0.8686645,free,,
0.5,-0.523023,0.87683594,free,,
0.5,-0.513013,0.8808624,free,,
0.5,-0.497998,0.8851008,free,,
0.5,-0.482983,0.88749987,free,,
0.5,-0.46796796,0.8883581,free,,
0.5,-0.44794795,0.8875193,free,,
0.5,-0.42792794,0.88482946,free,,
0.5,-0.4079079,0.88064855,free,,
0.5,-0.3828829,0.8737531,free,,
0.5,-0.35785785,0.8654005,free,,
0.5,-0.32782784,0.8539137,free,,
0.5,-0.2927928,0.8390258,free,,
0.5,-0.25775775,0.8230047,free,,
0.5,-0.17267267,0.7813579,free,,
0.5,0.04754755,0.66896504,free,,
0.5,0.17267267,0.6061923,free,,
0.5,0.6281281,0.38356864,free,,
0.5,0.7282282,0.33217242,free,,
0.5,0.8083083,0.28848347,free,,
0.5,0.8783784,0.2470327,free,,
0.5,0.9334334,0.21097851,free,,
0.5,0.9584585,0.19303457,free,,
0.5,0.9834835,0.17368945,free,,
0.5,1.0035036,0.15685144,free,,
0.5,1.0235236,0.13832201,free,,
0.5,1.0385386,0.122855864,free,,
0.5,1.0535536,0.10539251,free,,
0.5,1.0685686,0.084705316,free,,
0.5,1.0785786,0.0676979,free,,
0.5,1.0885886,0.04488817,free,,
0.5,1.0935936,0.027201995,free,,
0.5,1.0985986,5.363454e-7,free,,
0.5,2.5,5.7189795e-9,free,,
0.5,-0.8333333,0.0,emp,-0.8333333,-0.76086956
0.5,-0.76086956,0.0345,emp,-0.76086956,-0.6884058
0.5,-0.6884058,0.588225,emp,-0.6884058,-0.615942
0.5,-0.615942,0.820755,emp,-0.615942,-0.54347825
0.5,-0.54347825,0.876645,emp,-0.54347825,-0.4710145
0.5,-0.4710145,0.88803,emp,-0.4710145,-0.39855072
0.5,-0.39855072,0.86733,emp,-0.39855072,-0.32608697
0.5,-0.32608697,0.835245,emp,-0.32608697,-0.2536232
0.5,-0.2536232,0.802815,emp,-0.2536232,-0.18115942
0.5,-0.18115942,0.7659,emp,-0.18115942,-0.10869565
0.5,-0.10869565,0.733125,emp,-0.10869565,-0.036231883
0.5,-0.036231883,0.68862,emp,-0.036231883,0.036231883
0.5,0.036231883,0.660675,emp,0.036231883,0.10869565
0.5,0.10869565,0.61617,emp,0.10869565,0.18115942
0.5,0.18115942,0.588225,emp,0.18115942,0.2536232
0.5,0.2536232,0.54303,emp,0.2536232,0.32608697
0.5,0.32608697,0.510255,emp,0.32608697,0.39855072
0.5,0.39855072,0.48024,emp,0.39855072,0.4710145
0.5,0.4710145,0.44229,emp,0.4710145,0.54347825
0.5,0.54347825,0.406065,emp,0.54347825,0.615942
0.5,0.615942,0.369495,emp,0.615942,0.6884058
0.5,0.6884058,0.33396,emp,0.6884058,0.76086956
0.5,0.76086956,0.29394,emp,0.76086956,0.8333333
0.5,0.8333333,0.251505,emp,0.8333333,0.9057971
0.5,0.9057971,0.203895,emp,0.9057971,0.9782609
0.5,0.9782609,0.150765,emp,0.9782609,1.0507246
0.5,1.0507246,0.047955,emp,1.0507246,1.1231884
0.5,1.1231884,0.000345,emp,1.1231884,1.1956521
0.5,1.1956521,0.0,emp,1.1956521,1.268116
0.5,1.3405797,0.0,emp,,
0.5,-0.8333333,0.0,empMin,-0.8333333,-0.76086956
0.5,-0.76086956,0.02829,empMin,-0.76086956,-0.6884058
0.5,-0.6884058,0.00621,empMin,-0.6884058,-0.615942
0.5,-0.615942,0.0,empMin,-0.615942,-0.54347825
0.5,-0.4710145,0.0,empMin,,
0.5,0.9057971,0.0,empMax,0.9057971,0.9782609
0.5,0.9782609,0.002415,empMax,0.9782609,1.0507246
0.5,1.0507246,0.03174,empMax,1.0507246,1.1231884
0.5,1.1231884,0.000345,empMax,1.1231884,1.1956521
0.5,1.1956521,0.0,empMax,1.1956521,1.268116
0.5,1.3405797,0.0,empMax,,
0.7000000000000001,-2.5,5.5823195e-9,free,,
0.7000000000000001,-0.7132132,0.0000013998495,free,,
0.7000000000000001,-0.7082082,0.05588499,free,,
0.7000000000000001,-0.7032032,0.09594477,free,,
0.7000000000000001,-0.6931932,0.1564129,free,,
0.7000000000000001,-0.6881882,0.23367822,free,,
0.7000000000000001,-0.6831832,0.33273658,free,,
0.7000000000000001,-0.6781782,0.40368763,free,,
0.7000000000000001,-0.6681682,0.5055702,free,,
0.7000000000000001,-0.6631632,0.5449162,free,,
0.7000000000000001,-0.6531532,0.60919315,free,,
0.7000000000000001,-0.6431431,0.65985143,free,,
0.7000000000000001,-0.6331331,0.700827,free,,
0.7000000000000001,-0.6181181,0.74911636,free,,
0.7000000000000001,-0.6031031,0.7858136,free,,
0.7000000000000001,-0.5880881,0.8139726,free,,
0.7000000000000001,-0.5780781,0.82902855,free,,
0.7000000000000001,-0.5680681,0.84164035,free,,
0.7000000000000001,-0.5580581,0.852162,free,,
0.7000000000000001,-0.548048,0.86088276,free,,
0.7000000000000001,-0.538038,0.8680422,free,,
0.7000000000000001,-0.523023,0.8762828,free,,
0.7000000000000001,-0.513013,0.8803477,free,,
0.7000000000000001,-0.497998,0.884635,free,,
0.7000000000000001,-0.482983,0.88707465,free,,
0.7000000000000001,-0.46796796,0.887967,free,,
0.7000000000000001,-0.44794795,0.88716584,free,,
0.7000000000000001,-0.42792794,0.8845069,free,,
0.7000000000000001,-0.4079079,0.88035166,free,,
0.7000000000000001,-0.3828829,0.87348264,free,,
0.7000000000000001,-0.35785785,0.8651518,free,,
0.7000000000000001,-0.32782784,0.8536863,free,,
0.7000000000000001,-0.2927928,0.8388182,free,,
0.7000000000000001,-0.25775775,0.82281303,free,,
0.7000000000000001,-0.17267267,0.7811935,free,,
